ID	BL040126	BL040223	BL040322	BL040419	BL040525	BL040628	BL040719	BL040831	BL040929	BL041019	BL041116	BL041214	BL050120	BL050215	BL050309	BL050413	BL050510	BL050607	BL050705	BL050803	BL050913	BL051004	BL051108	BL051213	BL060111	BL060207	BL060307	BL060404	BL060516	BL060613	BL060704	BL060801	BL060912	BL061010	BL061107	BL061211	BL070116	BL070220	BL070320	BL070424	BL070515	BL070605	BL070703	BL070801	BL070912	BL071016	BL071113	BL071211	BL080115	BL080212	BL080311	BL080408	BL080507	BL080602	BL080702	BL080805	BL080902	BL081014	BL081113	BL081211	BL090113	BL090210	BL090317	BL090421	BL090512	BL090609	BL090721	BL090804	BL090915	BL091006	BL091105	BL091222	BL100120	BL100217	BL100322	BL100412	BL100525	BL100622	BL100706	BL100803	BL100914	BL101019	BL101116	BL101214	BL110112	BL110208	BL110314	BL110412	BL110517	BL110615	BL110704	BL110802	BL110913	BL111010	BL111129	BL111219	BL120110	BL120214	BL120313	BL120411	BL120518	BL120620	BL120703	BL120807	BL120913	BL121009	BL121106	BL121211	BL130115	BL130206	BL130312	BL130417	BL130507	BL130604	BL130709	BL130801	BL130917	BL131015	BL131105	BL131204
en_ASV_00005	76	14	59	66	499	95	181	73	101	121	160	87	323	313	28	91	1169	1007	346	89	43	124	64	112	101	1882	45	442	94	1299	459	84	73	180	274	188	119	54	330	303	2417	257	271	495	301	233	87	565	59	50	168	540	879	243	440	470	128	72	125	164	129	83	79	112	122	107	1104	204	252	92	313	92	132	53	18	2351	856	1125	764	601	289	197	204	316	130	65	88	1122	708	2394	702	991	314	245	207	315	150	69	75	642	282	3538	699	1439	304	150	148	322	180	95	132	4	237	4233	683	2206	607	798	435	233
bp_ASV_000003	200	197	412	197	291	126	211	105	284	239	346	312	288	126	234	285	336	185	85	234	218	128	270	233	166	233	114	40	78	163	243	318	173	418	0	344	301	217	137	202	436	417	326	191	416	475	206	221	283	278	117	157	133	126	297	86	100	179	253	549	186	132	173	161	220	229	169	204	203	131	186	126	292	211	292	179	94	376	79	42	61	84	100	95	25	208	196	147	559	111	628	297	320	400	421	465	298	289	231	145	201	549	251	454	316	283	256	316	259	213	240	184	156	288	104	259	136	90	191	347
bp_ASV_000006	105	98	54	102	70	117	177	72	164	160	188	144	181	99	188	233	213	253	168	228	85	93	239	234	165	122	111	128	223	225	662	286	276	222	0	191	208	140	100	132	160	130	217	155	229	205	92	93	78	132	69	76	39	63	138	277	268	180	205	44	111	76	45	100	76	96	145	180	235	196	191	99	209	225	124	63	56	130	47	23	50	95	66	68	28	152	69	134	128	116	200	172	191	278	140	198	164	125	1070	17	89	134	133	385	320	270	215	174	110	76	63	17	132	161	55	305	270	39	90	203
bp_ASV_000007	144	159	337	349	294	74	73	48	166	181	144	194	276	116	124	118	227	138	242	291	182	207	186	172	140	246	116	93	257	158	229	143	163	365	36	136	230	201	226	211	359	247	190	131	184	227	147	146	174	258	109	184	96	151	186	126	106	96	165	10	162	97	141	292	334	129	85	101	125	105	151	130	252	221	285	171	113	98	27	0	20	20	70	59	18	165	160	211	217	74	117	107	142	122	213	252	157	228	314	60	192	167	77	165	136	176	139	179	143	93	177	104	304	359	58	153	120	41	75	180
bp_ASV_000002	266	408	1072	627	974	104	122	41	168	174	245	299	317	269	132	167	181	131	477	295	392	351	237	224	253	529	245	162	237	245	430	179	513	248	0	335	295	355	455	768	542	226	234	94	185	259	165	218	321	445	306	450	356	234	166	75	132	109	224	99	236	182	356	374	521	297	65	189	127	83	149	127	251	326	690	462	107	214	50	0	74	107	140	121	44	390	608	381	502	76	212	148	154	112	278	339	277	338	179	343	368	188	80	136	152	187	232	288	310	261	405	451	448	270	88	167	214	39	155	252
bp_ASV_000004	259	292	694	390	510	123	155	79	237	204	263	329	393	206	213	245	217	141	136	202	354	196	200	257	233	297	124	66	185	179	236	259	178	421	0	266	323	340	287	345	486	341	259	148	269	292	220	305	325	386	194	315	181	148	225	83	82	123	305	314	243	171	261	269	328	227	103	143	133	111	200	155	397	271	463	294	122	230	45	0	28	75	127	89	45	269	335	235	476	92	391	202	271	262	449	451	312	356	124	165	282	435	175	303	214	241	240	342	275	221	307	229	254	281	97	209	105	60	151	310
bp_ASV_000008	99	101	187	189	139	65	68	40	159	176	129	157	210	62	127	140	218	119	151	198	119	128	169	189	141	170	56	46	113	121	163	146	122	278	0	144	197	129	132	136	296	209	171	133	203	232	132	119	176	162	73	142	70	90	153	94	65	97	147	96	142	80	96	231	260	99	74	94	97	105	141	119	203	162	196	133	66	113	31	0	12	32	66	76	12	131	129	173	228	85	169	152	159	192	208	219	146	204	238	59	163	200	74	145	158	191	134	158	140	98	140	70	268	331	35	122	96	40	87	179
bp_ASV_000010	78	101	40	74	54	142	170	86	151	143	160	125	172	29	149	189	192	224	86	193	59	66	169	139	103	77	32	59	110	138	423	213	267	131	0	196	189	90	79	83	135	101	180	183	252	200	82	92	69	133	58	69	28	53	137	305	296	159	191	37	93	50	42	94	75	65	160	195	242	159	144	72	115	148	74	26	12	85	41	0	43	64	35	36	21	90	56	89	111	104	132	154	154	234	104	139	119	80	471	19	39	77	77	282	220	200	124	110	67	36	46	20	53	104	32	226	239	28	78	144
bn_ASV_000001	112	0	52	0	24	163	1277	75	892	879	351	828	301	11	81	0	29	1386	2179	441	1752	2433	562	158	90	16	12	0	91	279	1534	1675	1921	1338	617	387	236	17	38	31	269	594	1071	2190	598	785	270	346	169	63	21	0	11	359	1025	2134	1452	1061	419	394	122	13	48	11	169	341	1584	833	2191	942	763	168	147	40	46	774	119	464	1428	1349	1768	1124	691	320	198	55	44	432	149	617	1336	1431	1667	1273	744	432	319	124	62	330	229	1042	1406	1789	1047	1539	805	610	729	221	122	83	244	1602	1347	1260	2344	1393	711	659
bn_ASV_000004	178	184	132	183	17	0	66	16	60	161	26	183	260	173	110	236	71	114	87	71	117	50	265	20	164	172	143	0	117	113	89	67	76	94	119	117	95	177	92	112	288	137	66	45	141	82	205	136	215	92	180	316	69	39	62	22	34	182	183	124	184	137	235	225	16	205	76	79	6	106	154	253	194	300	265	108	114	154	57	56	29	92	127	183	200	204	217	127	107	123	46	22	21	53	123	165	155	118	158	102	18	71	17	0	7	4	119	109	33	29	29	14	0	0	7	0	5	6	118	185
bn_ASV_000006	128	127	75	177	5	0	65	11	80	109	10	170	189	107	57	132	106	132	114	173	201	64	196	66	179	104	72	14	160	185	275	132	155	107	103	137	74	139	112	53	158	119	118	63	190	77	127	100	84	73	58	91	33	22	135	57	190	183	202	107	134	76	85	80	18	84	150	189	21	256	225	163	199	255	142	39	62	83	102	133	94	139	180	151	145	137	102	45	39	68	65	89	51	92	129	121	109	101	71	30	15	31	27	0	0	12	129	71	0	18	8	2	7	0	3	0	31	21	115	133
bn_ASV_000003	187	182	88	118	3	0	73	0	77	173	46	203	217	151	87	113	20	90	130	109	157	64	264	31	148	163	82	0	37	96	86	98	81	91	140	112	71	137	23	74	318	120	124	56	276	119	211	110	183	73	143	193	79	39	136	34	51	239	205	171	174	94	170	158	25	224	108	107	17	190	176	188	186	195	146	101	99	154	104	86	53	142	172	160	152	132	141	109	91	143	74	57	31	77	154	167	130	98	117	68	16	89	20	13	0	2	149	98	22	24	40	15	0	0	3	0	8	20	151	174
bn_ASV_000023	9	0	6	29	122	48	34	0	167	105	1209	27	8	12	0	101	218	11	0	0	73	162	36	165	19	16	13	47	168	60	4	4	38	60	401	34	13	6	10	57	21	22	11	4	24	109	81	51	8	21	19	40	135	382	5	4	29	43	107	47	13	1	2	6	7	104	34	8	69	26	101	22	8	2	31	197	103	138	21	6	125	219	199	44	14	11	24	143	151	132	14	12	211	412	257	67	23	33	12	143	251	149	11	19	550	739	351	124	55	63	13	149	373	136	0	0	148	115	284	46
bn_ASV_000002	200	315	177	405	14	0	31	12	48	130	8	180	212	281	138	356	135	149	55	70	114	28	216	17	234	275	241	15	115	187	149	50	184	83	147	133	77	218	167	212	390	97	83	41	119	67	161	99	214	140	300	467	184	40	46	26	86	146	150	120	172	189	356	316	49	290	57	135	6	107	139	206	170	322	317	133	194	185	51	77	48	81	140	155	194	204	261	157	145	145	30	49	21	42	122	138	156	168	217	121	47	84	9	0	0	0	119	95	15	43	49	16	0	0	0	0	8	0	108	169
bn_ASV_000010	87	119	51	82	0	6	88	0	77	99	24	158	167	87	56	65	82	119	119	269	128	67	149	32	117	61	51	17	70	103	198	75	158	74	88	116	58	108	55	62	142	73	93	83	240	74	108	90	82	69	60	71	17	18	148	65	196	180	178	92	125	86	63	75	14	78	94	140	12	208	138	125	132	144	72	19	39	58	106	94	88	123	130	112	122	91	58	53	31	45	59	78	61	70	109	99	83	80	36	19	7	31	25	8	12	0	75	45	0	8	11	0	0	0	0	20	23	0	86	94
bn_ASV_000007	162	126	94	229	8	0	0	18	93	132	0	131	230	131	91	244	147	154	135	67	119	39	173	15	144	151	115	21	191	101	88	61	80	57	60	70	60	124	132	121	253	127	78	48	116	66	117	112	159	65	107	191	65	41	65	38	84	134	140	94	139	97	138	203	20	106	57	86	20	135	145	191	166	284	191	112	98	91	72	57	47	86	94	137	119	165	140	135	105	85	39	44	27	45	87	101	119	129	104	88	14	48	13	0	0	0	76	68	12	26	25	0	0	0	0	12	10	9	68	132
bn_ASV_000008	124	105	74	128	2	0	0	0	67	128	0	127	205	108	99	158	85	147	95	60	100	29	167	19	125	111	95	10	96	85	74	58	62	87	72	76	47	113	39	101	243	97	66	44	178	77	150	113	155	58	98	162	48	40	80	23	44	114	110	98	142	93	110	164	20	101	48	71	6	113	148	173	140	181	155	81	84	106	45	55	43	86	120	140	107	125	112	85	77	67	32	44	23	35	90	116	85	73	93	75	29	40	14	0	0	0	72	70	8	16	21	0	16	0	0	11	5	2	95	105
ep_ASV_00030	7	62	5	36	26	47	23	95	45	22	28	27	17	25	0	0	54	25	11	7	17	32	12	31	101	11	58	6	23	30	165	0	7	76	0	9	28	6	48	38	25	58	86	23	49	37	68	11	0	5	56	38	10	28	12	0	25	51	21	44	51	17	28	10	7	31	11	48	37	23	72	86	28	8	7	103	10	26	10	17	0	0	5	0	5	13	48	59	87	27	89	15	30	74	2	52	43	19	0	27	100	97	44	85	36	73	22	14	15	3	8	63	6	111	96	35	45	15	5	18
bn_ASV_000015	0	0	37	96	32	17	145	6	39	28	81	0	0	30	0	199	210	236	71	42	87	99	89	7	0	44	57	76	129	268	114	45	44	60	18	23	1	0	106	182	194	302	106	50	83	48	45	10	2	11	20	62	214	235	188	28	36	47	9	7	6	4	3	24	224	216	79	85	46	61	11	10	7	3	22	55	199	249	84	69	34	42	20	11	3	4	25	54	172	201	50	62	21	21	38	13	2	5	15	46	108	135	23	44	13	7	29	13	0	0	0	31	43	41	6	19	20	20	23	7
