ID	ENV_Temp	ENV_SECCHI	ENV_SAL_CTD	ENV_CHL_total	ENV_PO4	ENV_NH4	ENV_NO2	ENV_NO3	ENV_SI	ENV_Day_length_Hours_light
BL040126	    14.0	    14.0	    37.9	     1.1	     0.2	     0.3	     0.3	     1.5	     1.8	     9.8
BL040223	    12.90	     7.00	    37.20	     1.00	     0.20	     0.70	     0.20	     1.60	     0.80	    10.93
BL040322	     12.90	     12.00	     37.20	      1.10	      0.20	      0.30	      0.30	      2.80	      2.50	     12.23
BL040419	     12.60	      6.00	     35.90	      1.40	      0.20	      1.50	      0.40	      2.50	      6.10	     13.51
BL040525	     17.00	      9.00	     37.00	      0.70	      0.20	      0.90	      0.30	      0.20	      3.30	     14.83
BL040628	     21.10	     14.00	     36.90	      0.40	      0.10	      0.30	      0.10	      0.20	      2.20	     15.18
BL040719	     24.00	     24.00	     36.90	      0.40	      0.10	      1.00	      0.20	      0.10	      1.40	     14.81
BL040831	     24.50	     17.00	     37.20	      0.55	      0.10	      0.70	      0.10	      0.30	      1.30	     13.18
BL040929	     21.30	     15.00	     37.70	      0.70	      0.10	      0.50	      0.10	      0.20	      1.40	     11.86
BL041019	     19.20	     12.00	     37.50	      0.30	      0.10	      0.50	      0.10	      0.40	      1.40	     10.94
BL041116	    16.00	    11.00	    36.80	     0.70	     0.20	     1.00	     1.00	     0.40	     1.80	     9.81
BL041214	    14.50	    15.50	    37.20	     0.40	     0.20	     1.30	     0.30	     1.30	     2.50	     9.18
BL050120	    13.00	    19.00	    37.00	     0.50	     0.20	     1.10	     0.20	     1.10	     2.60	     9.61
BL050215	    12.10	    13.00	    37.70	     1.30	     0.20	     1.20	     0.20	     2.60	     2.90	    10.58
BL050309	    12.40	    20.00	    37.90	     0.70	     0.40	     1.50	     0.20	     6.80	     7.10	    11.58
BL050413	    13.0	    18.0	    37.7	     2.0	     0.3	     2.1	     0.4	     3.3	     3.4	    13.2
BL050510	     16.00	     12.50	     37.60	      1.10	      0.20	      1.30	      0.10	      0.90	      1.50	     14.32
BL050607	    19.60	    22.00	    38.10	     0.40	     0.20	     1.00	     0.10	     0.20	     1.30	    15.09
BL050705	     24.00	     22.00	     37.35	      0.10	      0.20	      1.40	      0.10	      0.20	      1.80	     15.12
BL050803	    24.00	    20.00	    36.60	     0.00	     0.20	     0.90	     0.00	     0.10	     1.50	    14.37
BL050913	     26.10	     19.00	     35.85	      0.30	      0.20	      1.20	      0.00	      0.30	      1.30	     12.64
BL051004	    21.50	    17.00	    35.10	     0.60	     0.20	     1.50	     0.10	     2.40	     1.60	    11.67
BL051108	     17.90	     12.00	     37.10	      0.80	      0.20	      2.20	      0.80	      2.50	      1.80	     10.14
BL051213	    13.9	    15.0	    37.8	     0.6	     0.2	     1.0	     0.1	     1.2	     1.9	     9.2
BL060111	    12.60	    14.00	    38.30	     0.60	     0.20	     1.00	     0.20	     2.10	     2.70	     9.37
BL060207	    12.00	    15.00	    37.30	     0.50	     0.20	     0.50	     0.20	     2.30	     2.40	    10.25
BL060307	    13.00	    12.50	    36.30	     1.50	     0.20	     0.50	     0.10	     2.00	     1.80	    11.48
BL060404	     13.50	     16.00	     37.10	      1.00	      0.20	      1.50	      0.10	      3.20	      0.90	     12.79
BL060516	     18.40	     10.00	     37.10	      2.50	      0.10	      1.10	      0.10	      0.50	      0.10	     14.53
BL060613	     22.40	     12.00	     35.60	      0.40	      0.10	      1.80	      0.30	      0.50	      0.40	     15.16
BL060704	    23.70	    15.00	    37.70	     0.20	     0.00	     1.40	     0.10	     0.60	     0.10	    15.12
BL060801	     25.60	     18.00	     38.00	      0.40	      0.20	      1.10	      0.00	      0.40	      0.50	     14.44
BL060912	    24.60	    16.50	    37.70	     0.20	     0.10	     0.40	     0.30	     0.20	     0.00	    12.69
BL061010	     20.30	     15.00	     37.70	      0.30	      0.20	      0.90	      0.00	      0.30	      0.20	     11.44
BL061107	    18.30	    18.00	    38.10	     0.50	     0.20	     1.80	     0.20	     0.40	     0.90	    10.18
BL061211	    16.50	    17.00	    39.10	     0.70	     0.10	     1.50	     0.10	     0.40	     0.30	     9.22
BL070116	    15.60	    19.50	    38.20	     0.60	     0.10	     1.40	     0.30	     0.50	     0.50	     9.49
BL070220	    13.4	    18.0	    38.2	     0.5	     0.2	     1.8	     0.4	     1.5	     1.2	    10.8
BL070320	     13.50	     17.00	     38.20	      1.00	      0.20	      1.60	      0.20	      0.80	      0.20	     12.09
BL070424	    16.00	    20.00	    37.80	     0.50	     0.10	     1.10	     0.10	     1.00	     0.10	    13.69
BL070515	    17.5	    23.0	    37.2	     0.2	     0.2	     1.2	     0.3	     0.3	     0.2	    14.5
BL070605	     18.80	     19.00	     37.80	      0.20	      0.00	      3.00	      0.90	      0.40	      0.10	     15.05
BL070703	     21.90	     17.00	     37.70	      0.10	      0.10	      1.80	      0.40	      0.60	      0.20	     15.14
BL070801	    24.40	    15.00	    38.00	     0.20	     0.10	     2.50	     0.30	     0.90	     0.40	    14.44
BL070912	    26.20	    18.00	    38.00	     0.20	     0.10	     0.80	     0.10	     0.80	     0.40	    12.69
BL071016	    21.00	    19.00	    37.90	     0.20	     0.10	     1.70	     0.00	     0.30	     0.10	    11.12
BL071113	    16.10	    11.00	    38.20	     0.70	     0.10	     1.80	     0.20	     0.40	     0.60	     9.96
BL071211	    14.00	    17.00	    38.30	     0.70	     0.10	     1.60	     0.20	     1.00	     1.00	     9.22
BL080115	    13.10	    11.00	    38.30	     0.60	     0.10	     3.20	     0.80	     2.70	     2.00	     9.47
BL080212	    12.90	    10.50	    38.30	     1.10	     0.10	     3.40	     0.50	     2.50	     1.80	    10.45
BL080311	    13.50	    10.00	    38.30	     1.90	     0.10	     2.10	     0.40	     1.30	     1.00	    11.72
BL080408	    13.20	    16.00	    38.30	     0.50	     0.10	     6.30	     0.50	     1.60	     1.00	    13.02
BL080507	    16.70	    13.00	    38.20	     0.70	     0.10	     1.00	     0.20	     0.60	     0.40	    14.25
BL080602	    17.60	    10.00	    37.10	     0.90	     0.00	     0.70	     0.10	     1.40	     0.30	    15.02
BL080702	    21.30	    15.00	    37.60	     0.20	     0.00	     1.00	     0.20	     0.50	     0.60	    15.14
BL080805	    24.30	    24.00	    38.00	     0.20	     0.00	     2.60	     0.30	     0.50	     0.60	    14.26
BL080902	    24.20	    15.00	    38.10	     0.20	     0.10	     0.30	     0.00	     0.50	     0.80	    13.09
BL081014	     21.10	      8.00	     38.20	      0.30	      0.10	      6.50	      0.20	      0.80	      1.10	     11.17
BL081113	    16.10	    13.50	    38.20	     0.30	     0.10	     2.40	     0.40	     1.20	     1.50	     9.92
BL081211	     14.10	     14.00	     38.10	      0.30	      0.10	      2.10	      0.30	      1.30	      1.20	      9.21
BL090113	    12.70	    14.00	    38.10	     0.40	     0.10	     0.40	     0.20	     1.50	     2.50	     9.42
BL090210	    12.20	    12.00	    38.10	     0.80	     0.10	     0.35	     0.10	     0.90	     2.30	    10.37
BL090317	    12.40	    15.00	    38.20	     1.00	     0.10	     0.30	     0.00	     0.30	     2.10	    11.95
BL090421	    12.70	    15.50	    38.20	     1.20	     0.00	     0.40	     0.00	     0.10	     0.50	    13.56
BL090512	    15.2	    12.0	    37.8	     0.5	     0.1	     0.4	     0.0	     0.1	     0.7	    14.4
BL090609	     16.50	     13.00	     38.00	      0.30	      0.10	      0.50	      0.00	      0.10	      1.50	     15.12
BL090721	     20.90	     18.00	     38.10	      0.20	      0.00	      0.40	      0.00	      0.10	      0.60	     15.09
BL090804	    21.10	    20.00	    38.20	     0.30	     0.00	     0.10	     0.00	     0.40	     1.00	    14.33
BL090915	    20.40	    18.00	    38.10	     0.30	     0.10	     0.20	     0.00	     0.40	     1.20	    12.55
BL091006	     17.60	     16.00	     38.10	      0.70	      0.10	      0.20	      0.00	      0.50	      1.20	     11.58
BL091105	    17.30	    20.00	    38.20	     0.80	     0.10	     0.10	     0.10	     0.30	     1.40	    10.26
BL091222	    13.80	     8.00	    38.00	     1.10	     0.10	     0.10	     0.20	     1.20	     1.60	     9.15
BL100120	    12.90	    16.00	    37.90	     1.00	     0.10	     0.10	     0.20	     2.80	     1.90	     9.61
BL100217	    12.30	    10.00	    37.90	     1.00	     0.10	     0.50	     0.20	     0.00	     2.50	    10.67
BL100322	    11.9	    12.5	    37.7	     1.3	     0.2	     0.1	     0.4	     4.3	     2.4	    12.0
BL100413	     13.70	     15.00	     37.80	      0.50	      0.10	      0.10	      0.10	      1.10	      1.80	     13.25
BL100525	     15.20	      8.00	     37.60	      0.90	      0.10	      1.20	      0.10	      0.40	      1.60	     14.81
BL100622	    19.2	    15.0	    37.5	     0.6	     0.1	     0.3	     0.1	     0.5	     0.8	    15.2
BL100706	    23.1	    10.0	    37.7	     0.4	     0.1	     0.1	     0.0	     0.1	     0.3	    15.1
BL100803	    24.10	    15.00	    37.80	     0.40	     0.20	     0.10	     0.10	     0.20	     0.80	    14.37
