Id	Size_fraction	Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Genus_revised_for_PIDA	Species
bn_ASV_000205	nano	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_marine_group_II_euryarchaeote
bn_ASV_000172	nano	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_archaeon
bn_ASV_000539	nano	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_archaeon
bn_ASV_000351	nano	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_archaeon
bn_ASV_000481	nano	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_archaeon
bp_ASV_000205	pico	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_marine_group_II_euryarchaeote
bn_ASV_000874	nano	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_archaeon
bn_ASV_000509	nano	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_archaeon
bp_ASV_000172	pico	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_archaeon
bn_ASV_000614	nano	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_marine_archaeon
bp_ASV_000351	pico	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_archaeon
bn_ASV_000548	nano	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_archaeon
bn_ASV_000651	nano	Archaea	Euryarchaeota	Euryarchaeota	Thermoplasmata	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	Thermoplasmata_Marine_Group_II	uncultured_marine_group_II_euryarchaeote
bn_ASV_000427	nano	Bacteria	Actinobacteria	Actinobacteria_X	Actinobacteria_X	Actinobacteria_PeM15	Actinobacteria_PeM15	Actinobacteria_PeM15	Actinobacteria_PeM15	uncultured_marine_bacterium
bp_ASV_000427	pico	Bacteria	Actinobacteria	Actinobacteria_X	Actinobacteria_X	Actinobacteria_PeM15	Actinobacteria_PeM15	Actinobacteria_PeM15	Actinobacteria_PeM15	uncultured_marine_bacterium
bn_ASV_000132	nano	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina	uncultured_bacterium
bn_ASV_000081	nano	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina	uncultured_marine_bacterium
bn_ASV_000223	nano	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina	uncultured_marine_bacterium
bn_ASV_000108	nano	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina	uncultured_marine_bacterium
bp_ASV_000132	pico	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina	uncultured_bacterium
bp_ASV_000081	pico	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina	uncultured_marine_bacterium
bn_ASV_000449	nano	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina	uncultured_bacterium
bp_ASV_000223	pico	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina	uncultured_marine_bacterium
bp_ASV_000108	pico	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina	uncultured_marine_bacterium
bn_ASV_000014	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax	uncultured_bacterium
bn_ASV_000204	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax	marine_sediment_metagenome
bn_ASV_000919	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax	uncultured_proteobacterium
bn_ASV_000193	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_marine_bacterium
bn_ASV_000279	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_bacterium
bn_ASV_000518	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_bacterium
bn_ASV_000528	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_bacterium
bp_ASV_000193	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_marine_bacterium
bp_ASV_000279	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_bacterium
bn_ASV_000512	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_bacterium
bn_ASV_000082	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas	uncultured_gamma_proteobacterium
bn_ASV_001507	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas	uncultured_bacterium
bn_ASV_000017	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	Amylibacter	uncultured_bacterium
bp_ASV_000017	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	Amylibacter	uncultured_bacterium
bn_ASV_000189	nano	Bacteria	Epsilonbacteraeota	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter	uncultured_bacterium
bn_ASV_000277	nano	Bacteria	Epsilonbacteraeota	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter	Arcobacter_cryaerophilus
bp_ASV_000189	pico	Bacteria	Epsilonbacteraeota	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter	uncultured_bacterium
bn_ASV_002884	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arcticiflavibacter	Arcticiflavibacter	uncultured_Flavobacterium_sp
bn_ASV_000015	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Ascidiaceihabitans	uncultured_marine_bacterium
bp_ASV_000015	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Ascidiaceihabitans	uncultured_marine_bacterium
bn_ASV_000283	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Ascidiaceihabitans	uncultured_bacterium
bn_ASV_000333	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Ascidiaceihabitans	uncultured_bacterium
bn_ASV_001556	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Ascidiaceihabitans	uncultured_bacterium
bp_ASV_000283	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Ascidiaceihabitans	uncultured_bacterium
bp_ASV_000333	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Ascidiaceihabitans	uncultured_bacterium
bn_ASV_002551	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Ascidiaceihabitans	uncultured_Roseobacter_NAC1-2
bn_ASV_000177	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aurantimonas	Aurantimonas	Aurantimonas_coralicida_DSM_14790
bn_ASV_000036	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga	Aurantivirga	uncultured_bacterium
bp_ASV_000036	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga	Aurantivirga	uncultured_bacterium
bn_ASV_000175	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga	Aurantivirga	uncultured_bacterium
bn_ASV_000757	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureicoccus	Aureicoccus	uncultured_bacterium
